Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	Defense PPG to Pos	USG%	Final Proj	Final Value	PTS for 5x value	Minutes
PF	Tristan Thompson	21.96	$4,400.00	BOS	MIA	19.50	4.43	21.2	4.82	23	16.2	20.35	4.63	22.00	
SF	Trevor Ariza	19.82	$4,400.00	OKC	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.00	#N/A
C	Cody Zeller	20.60	$4,400.00	CHA	ATL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.00	#N/A
SG	Delon Wright	18.17	$4,400.00	DET	MIL	18.90	4.30	19.3	4.39	19	14.3	19.1	4.34	22.00	
PF	Jae Crowder	20.87	$4,400.00	PHO	TOR	24.50	5.57	19.5	4.43	8	14.7	22	5.00	22.00	
C	Daniel Theis	16.48	$4,300.00	BOS	MIA	20.40	4.74	19.4	4.51	6	13.3	19.9	4.63	21.50	
PF	Marquese Chriss	17.80	$4,300.00	GS	LAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21.50	#N/A
PG	Jeff Teague	19.73	$4,300.00	BOS	MIA	18.20	4.23	19.7	4.58	12	18	18.95	4.41	21.50	
SF	Patrick Williams	18.27	$4,300.00	CHI	SAC	22.80	5.30	18.9	4.40	24	17.5	20.85	4.85	21.50	
SF	Deni Avdija	20.27	$4,200.00	WAS	PHI	18.60	4.43	18	4.29	21	10.4	18.3	4.36	21.00	
SF	Cameron Johnson	20.69	$4,200.00	PHO	TOR	19.00	4.52	19.5	4.64	15	20.3	19.25	4.58	21.00	
PG	Raul Neto	16.40	$4,200.00	WAS	PHI	13.30	3.17	9.7	2.31	4	17.5	11.5	2.74	21.00	
SF	Justin Jackson	13.65	$4,200.00	OKC	NO	3.30	0.79	2.7	0.64	17	17.9	3	0.71	21.00	
PF	PJ Tucker	16.32	$4,200.00	HOU	IND	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	21.00	#N/A
C	DeMarcus Cousins	12.83	$4,100.00	HOU	IND	11.90	2.90	14.7	3.59	27	31.4	13.3	3.24	20.50	
SG	Duncan Robinson	19.33	$4,100.00	MIA	BOS	19.10	4.66	20.7	5.05	11	16.2	19.9	4.85	20.50	
SG	Hamidou Diallo	18.98	$4,100.00	OKC	NO	19.10	4.66	15.9	3.88	9	21.3	17.5	4.27	20.50	
PF	Isaiah Roby	19.33	$4,100.00	OKC	NO	#N/A	#N/A	12	2.93	15	18	#N/A	#N/A	20.50	
SF	Saddiq Bey	15.83	$4,100.00	DET	MIL	18.90	4.61	16.5	4.02	3	17.7	17.7	4.32	20.50	
PF	Thaddeus Young	20.67	$4,100.00	CHI	SAC	21.50	5.24	25.3	6.17	5	17.9	23.4	5.71	20.50	
C	Aron Baynes	13.83	$4,000.00	TOR	PHO	20.70	5.18	17.8	4.45	20	16.5	19.25	4.81	20.00	
C	Derrick Favors	19.00	$4,000.00	UTA	NY	22.10	5.53	18	4.50	16	17.5	20.05	5.01	20.00	
C	Hassan Whiteside	14.70	$4,000.00	SAC	CHI	8.90	2.23	10.1	2.53	30	22	9.5	2.38	20.00	
SG	Jeremy Lamb	24.83	$4,000.00	IND	HOU	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00	#N/A
SF	Justin Holiday	19.87	$4,000.00	IND	HOU	20.80	5.20	24.3	6.08	26	12.7	22.55	5.64	20.00	
PF	Eric Paschall	18.03	$4,000.00	GS	LAC	13.10	3.28	13.7	3.43	14	18.6	13.4	3.35	20.00	
SF	Danuel House	17.52	$4,000.00	HOU	IND	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00	#N/A
PG	Cole Anthony	20.71	$4,000.00	ORL	CLE	16.50	4.13	19.5	4.88	30	23.2	18	4.50	20.00	
SF	Obi Toppin	20.10	$4,000.00	NY	UTA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00	#N/A
PG	Lou Williams	17.89	$4,000.00	LAC	GS	21.00	5.25	25.4	6.35	27	22	23.2	5.80	20.00	
SG	Dwayne Bacon	13.90	$3,900.00	ORL	CLE	13.30	3.41	13.7	3.51	26	14.8	13.5	3.46	19.50	
SF	Danny Green	17.16	$3,900.00	PHI	WAS	18.40	4.72	18.3	4.69	19	13.9	18.35	4.71	19.50	
SG	Avery Bradley	19.22	$3,900.00	MIA	BOS	12.90	3.31	10.1	2.59	11	17.8	11.5	2.95	19.50	
PG	Tomas Satoransky	20.47	$3,900.00	CHI	SAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50	#N/A
C	Ivica Zubac	18.08	$3,900.00	LAC	GS	21.10	5.41	25.2	6.46	23	15	23.15	5.94	19.50	
PG	Rajon Rondo	19.70	$3,900.00	ATL	CHA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50	#N/A
SF	Kevin Porter	18.86	$3,900.00	CLE	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50	#N/A
SG	Sterling Brown	14.72	$3,900.00	HOU	IND	13.10	3.36	11.5	2.95	21	11.7	12.3	3.15	19.50	
PF	Doug McDermott	17.73	$3,900.00	IND	HOU	14.70	3.77	16.2	4.15	27	21.4	15.45	3.96	19.50	
SG	JJ Redick	10.56	$3,900.00	NO	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50	#N/A
SG	Luke Kennard	15.06	$3,900.00	LAC	GS	15.00	3.85	19.7	5.05	27	16.4	17.35	4.45	19.50	
PF	Jabari Parker	26.55	$3,800.00	SAC	CHI	1.50	0.39	1	0.26	24	0	1.25	0.33	19.00	
SF	James Ennis	13.85	$3,800.00	ORL	CLE	11.30	2.97	9.4	2.47	28	0	10.35	2.72	19.00	
SF	JaeSean Tate	16.40	$3,800.00	HOU	IND	16.10	4.24	13.6	3.58	6	13	14.85	3.91	19.00	
PF	Marcus Morris	26.92	$3,800.00	LAC	GS	15.30	4.03	15.4	4.05	17	0	15.35	4.04	19.00	
PG	Patrick Beverley	19.13	$3,800.00	LAC	GS	18.70	4.92	23.8	6.26	27	13.5	21.25	5.59	19.00	
SG	Reggie Jackson	12.64	$3,800.00	LAC	GS	9.10	2.39	10.3	2.71	27	18.3	9.7	2.55	19.00	
PG	Cory Joseph	18.14	$3,800.00	SAC	CHI	15.10	3.97	16.6	4.37	24	15.9	15.85	4.17	19.00	
PG	Ish Smith	14.73	$3,800.00	WAS	PHI	11.20	2.95	11.7	3.08	4	15.8	11.45	3.01	19.00	
SG	Wayne Ellington	17.50	$3,800.00	DET	MIL	5.80	1.53	10.9	2.87	19	17.3	8.35	2.20	19.00	
SG	Matt Thomas	13.17	$3,800.00	TOR	PHO	1.20	0.32	3.5	0.92	2	16.5	2.35	0.62	19.00	
PG	Kris Dunn	22.39	$3,800.00	ATL	CHA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00	#N/A
PF	Dario Saric	16.37	$3,800.00	PHO	TOR	13.30	3.50	13.9	3.66	8	27.3	13.6	3.58	19.00	
SG	Nickeil Alexander-Walker	12.74	$3,800.00	NO	OKC	12.30	3.24	8	2.11	4	29	10.15	2.67	19.00	
PF	Isaiah Stewart	14.56	$3,800.00	DET	MIL	11.50	3.03	12.4	3.26	1	10.2	11.95	3.14	19.00	
SG	Malik Monk	4.50	$3,800.00	CHA	ATL	2.80	0.74	8.2	2.16	25	12	5.5	1.45	19.00	
PF	Tony Bradley	21.10	$3,800.00	PHI	WAS	3.10	0.82	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00	#N/A
PG	Cameron Payne	17.77	$3,800.00	PHO	TOR	13.90	3.66	15.5	4.08	16	19.7	14.7	3.87	19.00	
C	Dwight Howard	14.31	$3,800.00	PHI	WAS	18.60	4.89	18.5	4.87	29	19.9	18.55	4.88	19.00	
SG	Andre Iguodala	11.68	$3,800.00	MIA	BOS	9.10	2.39	11.4	3.00	11	13.1	10.25	2.70	19.00	
PF	Gary Clark	8.30	$3,800.00	ORL	CLE	11.50	3.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00	#N/A
PF	Mike Muscala	16.22	$3,800.00	OKC	NO	13.70	3.61	14.8	3.89	15	20.5	14.25	3.75	19.00	
PF	Nemanja Bjelica	13.80	$3,700.00	SAC	CHI	15.00	4.05	16.8	4.54	24	19	15.9	4.30	18.50	
PG	Killian Hayes	9.73	$3,700.00	DET	MIL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50	#N/A
PG	Theo Maledon	12.92	$3,700.00	OKC	NO	8.50	2.30	9.3	2.51	23	18.9	8.9	2.41	18.50	
C	Kevon Looney	11.63	$3,700.00	GS	LAC	11.90	3.22	9.1	2.46	14	11.1	10.5	2.84	18.50	
PF	Khem Birch	18.13	$3,700.00	ORL	CLE	15.90	4.30	11.4	3.08	6	15.8	13.65	3.69	18.50	
SF	Chandler Hutchison	9.85	$3,700.00	CHI	SAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50	#N/A
PG	Austin Rivers	16.33	$3,700.00	NY	UTA	18.30	4.95	17.7	4.78	22	15.6	18	4.86	18.50	
SG	David Nwaba	17.55	$3,700.00	HOU	IND	8.40	2.27	11.1	3.00	21	17.1	9.75	2.64	18.50	
SF	Isaac Bonga	11.70	$3,700.00	WAS	PHI	12.10	3.27	6.7	1.81	21	8.9	9.4	2.54	18.50	
PG	Jordan Poole	9.02	$3,700.00	GS	LAC	5.50	1.49	11.6	3.14	15	21.1	8.55	2.31	18.50	
PG	DJ Augustin	11.15	$3,700.00	MIL	DET	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50	#N/A
PG	Michael Carter-Williams	16.03	$3,700.00	ORL	CLE	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50	#N/A
SF	Precious Achiuwa	14.52	$3,700.00	MIA	BOS	11.50	3.11	11.9	3.22	10	21.8	11.7	3.16	18.50	
SF	Norman Powell	14.80	$3,700.00	TOR	PHO	17.10	4.62	19.3	5.22	2	20.1	18.2	4.92	18.50	
PG	Frank Jackson	9.76	$3,700.00	DET	MIL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50	#N/A
PG	Immanuel Quickley	15.27	$3,700.00	NY	UTA	13.40	3.62	14	3.78	22	21.4	13.7	3.70	18.50	
SG	Damion Lee	14.61	$3,700.00	GS	LAC	17.60	4.76	14.8	4.00	20	10.2	16.2	4.38	18.50	
SF	DaQuan Jeffries	7.32	$3,600.00	SAC	CHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SG	Reggie Bullock	17.54	$3,600.00	NY	UTA	21.50	5.97	18.2	5.06	5	15.2	19.85	5.51	18.00	
PG	Matthew Dellavedova	9.54	$3,600.00	CLE	ORL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SG	Tony Snell	15.38	$3,600.00	ATL	CHA	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
SF	Caleb Martin	15.50	$3,600.00	CHA	ATL	0.60	0.17	10.8	3.00	30	18.3	5.7	1.58	18.00	
SG	Pat Connaughton	14.87	$3,600.00	MIL	DET	#N/A	#N/A	10.8	3.00	13	12	#N/A	#N/A	18.00	
C	Willy Hernangomez	7.30	$3,600.00	NO	OKC	#N/A	#N/A	0.6	0.17	17	16.7	#N/A	#N/A	18.00	
SF	Troy Brown	8.78	$3,600.00	WAS	PHI	10.40	2.89	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00	#N/A
