Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
